,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
59,No Data,critical,Buying a New Car,376.0,200-500,2-5 Years,Female,No,Vehicle,50.0,House Owner,Services,No,No
60,No Data,critical,TV,2253.0,0-200,2-5 Years,Female,No,Vehicle,23.0,House Owner,Skilled Labor,No,No
61,No Data,critical,Home furniture,2419.0,0-200,Unemployed,Male,No,Vehicle,33.0,House Owner,Professional / Management,No,No
62,No Data,critical,TV,1517.0,1000+,2-5 Years,Female,No,Property - Real Estate,41.0,House Owner,Services,No,No
63,No Data,critical,Buying a Used Car,2201.0,No Data,5-7 Years,Male,No,Vehicle,44.0,House Owner,Skilled Labor,No,No
64,No Data,critical,Buying a Used Car,7257.0,0-200,5-7 Years,Male,No,Vehicle,35.0,House Owner,Professional / Management,No,No
65,No Data,critical,Support for Business,2309.0,0-200,Unemployed,Male,No,Vehicle,42.0,House Owner,Professional / Management,No,No
66,No Data,critical,Buying a Used Car,5854.0,0-200,7+ Years,Male,No,Savings Account,34.0,House Owner,Skilled Labor,No,No
67,No Data,critical,TV,2759.0,0-200,7+ Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,No
68,No Data,critical,TV,1159.0,1000+,2-5 Years,Male,No,Property - Real Estate,48.0,House Owner,Skilled Labor,No,No
69,No Data,critical,Renovation,2067.0,0-200,2-5 Years,Divorced,No,Property - Real Estate,33.0,House Owner,Skilled Labor,No,No
70,No Data,critical,Buying a New Car,1304.0,1000+,7+ Years,Female,No,Property - Real Estate,39.0,House Owner,Skilled Labor,No,No
71,No Data,critical,Learning / Edu purposes,1257.0,No Data,7+ Years,Female,No,Savings Account,40.0,Renting,Services,No,No
72,No Data,critical,Buying a Used Car,11059.0,No Data,2-5 Years,Male,No,Vehicle,28.0,House Owner,Professional / Management,No,No
73,No Data,critical,Buying a New Car,1178.0,500-1000,2-5 Years,Male,No,Property - Real Estate,42.0,House Owner,Skilled Labor,No,Yes
74,No Data,critical,TV,1939.0,0-200,7+ Years,Male,No,No Security,27.0,House Owner,Skilled Labor,No,No
75,No Data,critical,TV,1242.0,200-500,2-5 Years,Female,No,Savings Account,25.0,House Owner,Skilled Labor,No,Yes
76,No Data,critical,Home furniture,1590.0,0-200,5-7 Years,Male,No,Savings Account,42.0,House Owner,Skilled Labor,No,No
77,No Data,critical,Home furniture,7146.0,0-200,0-2 Years,Female,No,Savings Account,22.0,Renting,Skilled Labor,No,No
78,No Data,critical,TV,704.0,No Data,7+ Years,Male,No,No Security,34.0,Free,Skilled Labor,No,No
79,No Data,critical,Renovation,5520.0,0-200,7+ Years,Male,No,No Security,45.0,Free,Skilled Labor,No,No
80,No Data,critical,Learning / Edu purposes,1537.0,200-500,2-5 Years,Female,No,Vehicle,29.0,House Owner,Skilled Labor,No,No
81,No Data,critical,TV,1518.0,0-200,5-7 Years,Male,No,Property - Real Estate,41.0,House Owner,Services,No,No
82,No Data,critical,Buying a New Car,1256.0,0-200,7+ Years,Male,No,Property - Real Estate,61.0,House Owner,Services,No,No
83,No Data,critical,Buying a New Car,2028.0,0-200,2-5 Years,Female,No,Vehicle,39.0,House Owner,Skilled Labor,No,No
84,No Data,critical,Buying a Used Car,8877.0,No Data,5-7 Years,Male,No,No Security,35.0,Free,Skilled Labor,No,No
85,No Data,critical,Renovation,1006.0,No Data,5-7 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,No
86,No Data,critical,TV,2581.0,1000+,7+ Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
87,No Data,critical,TV,5968.0,0-200,5-7 Years,Male,Yes,Vehicle,37.0,House Owner,Skilled Labor,No,No
88,No Data,critical,Home furniture,2790.0,0-200,5-7 Years,Female,Yes,Vehicle,22.0,House Owner,Skilled Labor,No,No
89,No Data,critical,Learning / Edu purposes,1943.0,No Data,2-5 Years,Female,No,Vehicle,31.0,House Owner,Skilled Labor,No,No
90,No Data,critical,Buying a New Car,2790.0,0-200,5-7 Years,Male,No,Savings Account,29.0,House Owner,Skilled Labor,No,No
91,No Data,critical,Support for Business,4534.0,0-200,2-5 Years,Male,No,Property - Real Estate,75.0,House Owner,Professional / Management,No,No
92,No Data,critical,Buying a New Car,1541.0,0-200,2-5 Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,No
93,No Data,critical,Home furniture,4043.0,500-1000,2-5 Years,Male,No,Property - Real Estate,36.0,House Owner,Skilled Labor,No,Yes
94,No Data,critical,TV,1867.0,0-200,5-7 Years,Married,Yes,Vehicle,34.0,House Owner,Skilled Labor,No,No
95,No Data,critical,Buying a Used Car,2362.0,0-200,5-7 Years,Male,No,Vehicle,37.0,House Owner,Skilled Labor,No,No
96,No Data,critical,All other,6332.0,0-200,Unemployed,Male,Yes,No Security,26.0,House Owner,Professional / Management,No,No
97,No Data,critical,Support for Business,4141.0,200-500,2-5 Years,Male,No,Savings Account,26.0,House Owner,Services,No,No
98,No Data,critical,Buying a New Car,2084.0,500-1000,2-5 Years,Married,No,Vehicle,23.0,House Owner,Skilled Labor,No,No
99,No Data,critical,TV,4539.0,0-200,5-7 Years,Female,No,Vehicle,25.0,Renting,Professional / Management,No,No
100,No Data,critical,Home furniture,5159.0,0-200,7+ Years,Male,No,Vehicle,31.0,House Owner,Skilled Labor,No,No
101,No Data,critical,TV,5120.0,0-200,0-2 Years,Married,No,No Security,47.0,Free,Skilled Labor,No,No
102,No Data,critical,Buying a New Car,944.0,0-200,Unemployed,Female,No,Savings Account,36.0,House Owner,Not Employed,No,No
103,No Data,critical,TV,1809.0,0-200,2-5 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,No
104,No Data,critical,TV,630.0,500-1000,7+ Years,Male,No,Savings Account,34.0,House Owner,Professional / Management,No,No
105,No Data,critical,Buying a Used Car,7615.0,No Data,7+ Years,Male,No,Vehicle,64.0,House Owner,Skilled Labor,No,No
106,No Data,critical,TV,3090.0,No Data,7+ Years,Male,No,Vehicle,42.0,House Owner,Skilled Labor,No,No
107,No Data,critical,Buying a New Car,254.0,1000+,2-5 Years,Female,No,Property - Real Estate,40.0,House Owner,Services,No,No
108,No Data,critical,TV,1324.0,500-1000,2-5 Years,Married,No,Savings Account,48.0,House Owner,Services,No,Yes
109,No Data,critical,Buying a New Car,3399.0,0-200,5-7 Years,Female,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
110,No Data,critical,Buying a New Car,6774.0,0-200,5-7 Years,Male,No,No Security,46.0,House Owner,Professional / Management,No,No
111,No Data,critical,TV,5790.0,0-200,5-7 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,No,No
112,No Data,critical,Buying a New Car,5051.0,No Data,7+ Years,Female,No,Vehicle,59.0,House Owner,Skilled Labor,No,No
113,No Data,critical,Buying a New Car,12693.0,No Data,7+ Years,Male,No,No Security,30.0,Free,Professional / Management,No,No
114,No Data,critical,Buying a New Car,2473.0,200-500,5-7 Years,Married,No,Savings Account,26.0,House Owner,Skilled Labor,No,No
115,No Data,critical,TV,1672.0,0-200,7+ Years,Male,No,Property - Real Estate,65.0,House Owner,Services,No,No
116,No Data,critical,Buying a Used Car,3282.0,0-200,7+ Years,Male,No,Vehicle,35.0,House Owner,Professional / Management,No,No
117,No Data,critical,TV,2238.0,200-500,7+ Years,Male,No,Savings Account,52.0,House Owner,Skilled Labor,No,No
118,No Data,critical,Buying a New Car,3545.0,0-200,5-7 Years,Male,No,Vehicle,35.0,House Owner,Skilled Labor,No,No
119,No Data,critical,Buying a Used Car,5723.0,1000+,7+ Years,Male,No,Vehicle,37.0,House Owner,Professional / Management,No,No
120,No Data,critical,Buying a New Car,1941.0,1000+,7+ Years,Male,No,Property - Real Estate,62.0,House Owner,Skilled Labor,No,No
121,No Data,critical,Buying a Used Car,2771.0,No Data,7+ Years,Male,No,Vehicle,39.0,House Owner,Skilled Labor,No,No
122,No Data,critical,Home furniture,1241.0,No Data,2-5 Years,Married,No,Savings Account,25.0,House Owner,Skilled Labor,No,No
123,No Data,critical,Home furniture,1259.0,0-200,0-2 Years,Female,No,Savings Account,21.0,Renting,Services,No,No
124,No Data,critical,Learning / Edu purposes,1606.0,0-200,7+ Years,Male,No,No Security,53.0,Free,Skilled Labor,No,No
125,No Data,critical,TV,996.0,No Data,7+ Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
126,No Data,critical,TV,940.0,No Data,7+ Years,Male,No,Property - Real Estate,63.0,House Owner,Skilled Labor,No,Yes
127,No Data,critical,TV,1569.0,0-200,5-7 Years,Female,No,Vehicle,26.0,Renting,Skilled Labor,No,No
128,No Data,critical,Home furniture,3790.0,0-200,0-2 Years,Divorced,No,Vehicle,35.0,House Owner,Professional / Management,No,No
129,No Data,critical,TV,2614.0,0-200,7+ Years,Married,Yes,Property - Real Estate,45.0,House Owner,Skilled Labor,No,No
130,No Data,critical,Buying a Used Car,4043.0,No Data,5-7 Years,Male,No,Savings Account,42.0,House Owner,Skilled Labor,No,No
131,No Data,critical,TV,1491.0,0-200,2-5 Years,Male,No,No Security,35.0,Free,Skilled Labor,No,No
132,No Data,critical,Home furniture,3360.0,0-200,2-5 Years,Male,No,No Security,30.0,Free,Skilled Labor,No,No
133,No Data,critical,Buying a Used Car,5821.0,1000+,2-5 Years,Male,No,Property - Real Estate,28.0,House Owner,Skilled Labor,No,No
134,No Data,critical,Home furniture,4541.0,1000+,0-2 Years,Male,No,Property - Real Estate,33.0,House Owner,Services,No,No
135,No Data,critical,Home furniture,3339.0,0-200,7+ Years,Male,No,Savings Account,43.0,House Owner,Skilled Labor,No,No
136,No Data,critical,TV,6749.0,No Data,5-7 Years,Male,No,Savings Account,37.0,House Owner,Skilled Labor,No,No
137,No Data,critical,TV,1112.0,0-200,Unemployed,Female,No,Vehicle,67.0,House Owner,Not Employed,No,No
138,No Data,critical,Buying a New Car,6631.0,0-200,7+ Years,Male,No,Vehicle,36.0,House Owner,Professional / Management,No,No
139,No Data,critical,TV,1842.0,0-200,7+ Years,Male,No,Vehicle,44.0,House Owner,Skilled Labor,No,No
140,No Data,critical,TV,1186.0,No Data,2-5 Years,Male,No,Savings Account,31.0,House Owner,Skilled Labor,No,No
141,No Data,critical,Home furniture,1605.0,1000+,5-7 Years,Female,No,Savings Account,37.0,House Owner,Skilled Labor,Yes,No
142,No Data,critical,Buying a New Car,3499.0,No Data,0-2 Years,Divorced,No,Property - Real Estate,44.0,House Owner,Skilled Labor,No,No
143,No Data,critical,Buying a Used Car,10495.0,No Data,7+ Years,Male,No,No Security,41.0,Free,Skilled Labor,No,Yes
144,No Data,critical,Home furniture,1830.0,0-200,2-5 Years,Female,No,No Security,28.0,House Owner,Skilled Labor,No,No
145,No Data,critical,Buying a New Car,1238.0,0-200,2-5 Years,Male,No,Property - Real Estate,32.0,House Owner,Skilled Labor,No,No
146,No Data,critical,TV,536.0,500-1000,7+ Years,Male,No,Savings Account,41.0,House Owner,Skilled Labor,No,No
147,No Data,critical,Buying a Used Car,6849.0,No Data,2-5 Years,Male,No,Savings Account,45.0,House Owner,Professional / Management,No,No
148,No Data,critical,Buying a New Car,1474.0,0-200,5-7 Years,Male,No,Property - Real Estate,44.0,House Owner,Services,No,No
149,No Data,critical,TV,1744.0,0-200,7+ Years,Married,No,Property - Real Estate,28.0,Renting,Skilled Labor,No,No
150,No Data,critical,TV,2844.0,0-200,2-5 Years,Female,No,Vehicle,35.0,House Owner,Skilled Labor,No,No
151,No Data,critical,Home furniture,2034.0,0-200,5-7 Years,Male,No,Savings Account,31.0,House Owner,Services,No,No
152,No Data,critical,Learning / Edu purposes,3570.0,No Data,0-2 Years,Male,No,Savings Account,36.0,House Owner,Services,No,No
153,Type A,Average (known delays),TV,423.0,1000+,2-5 Years,Female,No,Property - Real Estate,40.0,Renting,Skilled Labor,No,No
154,Type A,Good,Home furniture,1481.0,0-200,0-2 Years,Female,No,Savings Account,32.0,House Owner,Professional / Management,No,No
155,Type A,Good,TV,2109.0,0-200,2-5 Years,Male,Yes,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
156,Type A,Good,Home Devices,1238.0,0-200,2-5 Years,Male,No,Vehicle,35.0,House Owner,Skilled Labor,No,No
157,Type A,Good,Buying a New Car,1978.0,0-200,7+ Years,Female,No,Vehicle,25.0,House Owner,Professional / Management,No,No
158,Type A,critical,Home furniture,3637.0,No Data,7+ Years,Male,Yes,No Security,18.0,Renting,Skilled Labor,No,No
159,Type A,Good,Learning / Edu purposes,411.0,0-200,0-2 Years,Female,No,Savings Account,25.0,Renting,Skilled Labor,No,Yes
160,Type A,critical,Buying a New Car,783.0,0-200,7+ Years,Male,No,No Security,61.0,Free,Skilled Labor,No,No
161,Type A,Good,TV,1887.0,0-200,2-5 Years,Female,No,Vehicle,43.0,Renting,Services,No,Yes
162,Type A,Good,Buying a New Car,729.0,1000+,0-2 Years,Married,No,Property - Real Estate,25.0,House Owner,Not Employed,Yes,Yes
163,Type A,Good,TV,5858.0,0-200,2-5 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,Yes
164,Type A,Average (known delays),Support for Business,1914.0,0-200,7+ Years,Male,No,Property - Real Estate,66.0,House Owner,Professional / Management,No,No
165,Type A,Good,TV,3924.0,0-200,2-5 Years,Male,No,Property - Real Estate,22.0,House Owner,Skilled Labor,No,Yes
166,Type A,Good,TV,4228.0,0-200,2-5 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,No
167,Type A,Good,Home furniture,1944.0,0-200,2-5 Years,Male,No,Property - Real Estate,26.0,House Owner,Skilled Labor,No,Yes
168,Type A,Good,Home furniture,2258.0,0-200,2-5 Years,Female,No,Vehicle,47.0,House Owner,Services,No,Yes
169,Type A,Average (known delays),TV,1452.0,No Data,5-7 Years,Male,No,Vehicle,47.0,House Owner,Services,No,Yes
170,Type A,critical,Buying a Used Car,4799.0,0-200,7+ Years,Male,No,No Security,55.0,Free,Skilled Labor,No,No
171,Type A,critical,Buying a New Car,1347.0,No Data,5-7 Years,Male,No,Property - Real Estate,37.0,House Owner,Services,No,No
172,Type A,Good,Home furniture,3761.0,0-200,0-2 Years,Female,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
173,Type A,Good,Buying a New Car,1512.0,No Data,0-2 Years,Male,No,Property - Real Estate,28.0,House Owner,Services,Yes,Yes
174,Type A,Good,TV,4485.0,0-200,7+ Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
175,Type A,Good,Buying a New Car,3957.0,0-200,0-2 Years,Male,Yes,Savings Account,37.0,House Owner,Services,No,Yes
176,Type A,Good,TV,3410.0,No Data,7+ Years,Male,No,Vehicle,39.0,House Owner,Professional / Management,No,Yes
177,Type A,Average (known delays),Buying a New Car,2266.0,0-200,2-5 Years,Female,No,Vehicle,35.0,House Owner,Skilled Labor,No,No
178,Type A,Good,Buying a New Car,1331.0,0-200,0-2 Years,Male,No,Property - Real Estate,25.0,House Owner,Skilled Labor,No,Yes
179,Type A,critical,Buying a New Car,959.0,500-1000,5-7 Years,Married,No,Property - Real Estate,30.0,House Owner,Skilled Labor,No,No
180,Type A,Average (known delays),Support for Business,613.0,0-200,0-2 Years,Female,No,Property - Real Estate,25.0,House Owner,Not Employed,No,No
181,Type A,Good,Home furniture,1443.0,No Data,7+ Years,Female,No,Property - Real Estate,53.0,House Owner,Professional / Management,No,Yes
182,Type A,Good,TV,5159.0,0-200,5-7 Years,Male,No,Vehicle,25.0,House Owner,Skilled Labor,No,Yes
183,Type A,critical,Buying a New Car,1324.0,200-500,7+ Years,Divorced,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
184,Type A,Good,TV,1138.0,200-500,7+ Years,Divorced,No,Property - Real Estate,49.0,House Owner,Skilled Labor,No,Yes
185,Type A,critical,Buying a Used Car,2367.0,500-1000,2-5 Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,Yes
186,Type A,Good,Support for Business,2692.0,0-200,5-7 Years,Male,No,Savings Account,28.0,Renting,Skilled Labor,No,Yes
187,Type A,critical,Learning / Edu purposes,2320.0,0-200,0-2 Years,Divorced,No,Vehicle,32.0,Renting,Skilled Labor,No,No
188,Type A,Good,Home furniture,3064.0,0-200,0-2 Years,Female,No,Savings Account,46.0,House Owner,Services,No,Yes
189,Type A,Good,Home furniture,2872.0,0-200,2-5 Years,Male,No,Property - Real Estate,32.0,House Owner,Services,No,No
190,Type A,Average (known delays),TV,700.0,0-200,0-2 Years,Female,No,Savings Account,28.0,House Owner,Skilled Labor,No,No
191,Type A,Good,Home furniture,1276.0,0-200,0-2 Years,Female,No,Savings Account,24.0,House Owner,Skilled Labor,No,Yes
192,Type A,Good,Buying a New Car,1250.0,200-500,7+ Years,Female,No,No Security,46.0,Free,Services,No,No
193,Type A,Good,Home furniture,2122.0,0-200,2-5 Years,Male,No,Property - Real Estate,40.0,House Owner,Skilled Labor,No,Yes
194,Type A,Good,Buying a New Car,966.0,0-200,5-7 Years,Male,No,No Security,36.0,Free,Skilled Labor,No,No
195,Type A,Good,TV,1316.0,0-200,2-5 Years,Married,No,Property - Real Estate,23.0,Renting,Skilled Labor,No,Yes
196,Type A,critical,Learning / Edu purposes,1057.0,0-200,2-5 Years,Female,No,Savings Account,52.0,House Owner,Services,No,No
197,Type A,critical,TV,3033.0,0-200,7+ Years,Male,No,Savings Account,46.0,House Owner,Skilled Labor,No,No
198,Type A,critical,TV,1349.0,No Data,5-7 Years,Male,No,Savings Account,29.0,House Owner,Skilled Labor,No,Yes
199,Type A,Good,Learning / Edu purposes,1914.0,0-200,7+ Years,Male,No,Vehicle,42.0,Renting,Professional / Management,No,Yes
200,Type A,Good,TV,1394.0,200-500,7+ Years,Female,No,No Security,47.0,Free,Skilled Labor,No,Yes
201,Type A,critical,TV,3161.0,No Data,2-5 Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
202,Type A,Good,TV,1353.0,0-200,0-2 Years,Male,No,Vehicle,34.0,House Owner,Professional / Management,No,No
203,Type A,critical,Support for Business,1290.0,1000+,2-5 Years,Divorced,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,Yes
204,Type A,critical,Buying a New Car,1305.0,0-200,2-5 Years,Male,No,Property - Real Estate,74.0,House Owner,Not Employed,Yes,No
205,Type A,critical,TV,1272.0,No Data,2-5 Years,Male,No,No Security,40.0,Free,Skilled Labor,No,No
206,Type A,critical,Buying a New Car,1484.0,500-1000,Unemployed,Male,No,No Security,68.0,Free,Not Employed,No,Yes
207,Type A,Good,Home furniture,2903.0,0-200,7+ Years,Divorced,No,No Security,53.0,Free,Skilled Labor,No,Yes
208,Type A,Good,TV,3018.0,0-200,2-5 Years,Married,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
209,Type A,Good,TV,2341.0,0-200,0-2 Years,Female,No,Property - Real Estate,24.0,House Owner,Services,No,No
210,Type A,critical,Buying a New Car,1356.0,0-200,7+ Years,Male,No,Property - Real Estate,47.0,House Owner,Skilled Labor,Yes,No
211,Type A,Good,TV,746.0,0-200,2-5 Years,Female,No,Property - Real Estate,26.0,House Owner,Services,No,No
212,Type A,critical,TV,3674.0,No Data,7+ Years,Male,No,Savings Account,51.0,House Owner,Services,No,Yes
213,Type A,Good,TV,1260.0,500-1000,2-5 Years,Female,No,Vehicle,56.0,House Owner,Services,No,Yes
214,Type A,Good,Buying a New Car,2939.0,200-500,2-5 Years,Female,No,Vehicle,28.0,House Owner,Professional / Management,No,Yes
215,Type A,Good,Support for Business,6298.0,0-200,0-2 Years,Divorced,No,Savings Account,34.0,House Owner,Skilled Labor,No,Yes
216,Type A,Good,Learning / Edu purposes,9067.0,No Data,2-5 Years,Male,No,No Security,37.0,Free,Services,No,Yes
217,Type A,Good,Home furniture,2838.0,500-1000,7+ Years,Male,No,Savings Account,55.0,House Owner,Skilled Labor,No,Yes
218,Type A,Good,TV,3078.0,1000+,5-7 Years,Divorced,No,Property - Real Estate,63.0,House Owner,Services,No,Yes
219,Type A,Good,TV,3439.0,500-1000,7+ Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,Yes
220,Type A,Good,TV,438.0,0-200,7+ Years,Married,No,Vehicle,38.0,House Owner,Services,No,Yes
